Imperative self control
"success","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","question_order","type"
"true","fullscreen","0","2296","0.0-0.0","{""subject_id"":""missing""}","","","","",""
"","html-keyboard-response","1","2943","0.0-1.0","{""subject_id"":""missing""}","644","<div class=""row"" id=""header_row""><div class=""col"" style=""width: 33%""><img alt=""Logo Università di Palermo"" class=""img-fluid"" src=""Images/logo_unipa.png""></div><div class=""col"" style=""width: 33%""></div><div class=""col"" style=""width: 33%""><img src=""Images/cnr_logo.jpg"" class=""img-fluid"" alt=""Logo CNR"" style=""max-width: 65%""></div></div><h5 class=""introHeader""> Grazie mille per la tua partecipazione! Il tuo contributo è molto importante per noi!</h5><div class=""border p-3"" style=""max-width: 80%;margin-left: 10%;text-align: left;border-radius: 1%;""><p>Questa ricerca ha l’obiettivo di indagare le differenze tra le misure basate su rating scale e quelle su tempi di reazione, il tutto nell’ambito della formazione delle impressioni.</p><p>Il compito ti richiederà circa 15 minuti. Per svolgerlo correttamente, cerca di stare in un <span class=""keyword"">ambiente il più possibile tranquillo e di leggere molto attentamente le istruzioni di ogni prova.</span><p>Non esistono risposte ""giuste"" o ""sbagliate"", esistono invece modi personali di concepire fatti e persone: noi siamo interessati al fatto che siano proprio questi ultimi ad emergere.</p><p>Rispondi ad ogni quesito con <span class=""keyword"">assoluta sincerità</span>, selezionando la risposta che riflette il più possibile ciò che pensi.</p><p>Ti informiamo che:</p><p><b>-</b> il questionario verrà rigorosamente compilato in forma <span class=""keyword"">anonima</span class=""keyword""> e per garantire una migliore validità dei risultati alcune domande potrebbero essere riproposte. <i><a href=""privacy.html"" target=""_blank"">(Nota sulla privacy e informazioni sulla ricerca)</a></i></p><p><b>-</b> iniziando il questionario esprimi il tuo consenso a partecipare alla ricerca, accetti il trattamento dei dati raccolti e affermi di aver letto e compreso le informazioni qui riportate.</p><p><b>-</b> sei libero di ritirarti in qualsiasi momento senza preavviso, senza che ciò comporti alcuna conseguenza o la necessità di doverne specificare il motivo.</p></div><h5 class=""pushAnyBtn"" style=""margin-top: 0.5%;margin-bottom: 1%"">Premi qualunque tasto per iniziare</h5>"," ","",""
"","survey-html-form","2","6368","0.0-2.0","{""subject_id"":""missing""}","2923","","{""sex"":""1""}","",""
"","html-keyboard-response","3","9558","0.0-3.0","{""subject_id"":""missing""}","3190","<h5 class=""introHeader extend_size"">Istruzioni</h5><div class=""border p-3 extend_size"" style=""padding:1%;text-align: left;border-radius: 10px!important;""><p><br>Nelle prossime pagine vedrai una serie di attributi, in relazione ai quali svolgerai 3 compiti. Nello specifico, dovrai indicare:<br><br>1) quanto ciascun attributo rappresenta <span class=""keyword"">la persona che effettivamente sei</span>.<br><br>2) quanto ciascun attributo rappresenta <span class=""keyword"">la persona che idealmente vorresti essere</span>.<br><br>3) quanto ciascun attributo rappresenta <span class=""keyword"">la persona che pensi di dover essere</span>.<br><br><b style=""margin-left: 25%""><u>Prima di ogni compito leggi attentamente le istruzioni.</u></b></div><h5 class=""pushAnyBtn extend_size"" style=""margin-top: 1%;margin-bottom: 1%"">Premi qualunque tasto per continuare</h5>"," ","",""
"","html-keyboard-response","4","12656","0.0-4.0","{""subject_id"":""missing""}","2092","<h5 class=""introHeader"" xmlns=""http://www.w3.org/1999/html""> Istruzioni <span class=""keyword_header"">Sé reale</span> <span>(Leggi attentamente prima di iniziare)</span></h5><div class=""border p-3"" style=""max-width:80%;margin-left: 10%;text-align: left;margin-bottom: 2%;border-radius: 10px!important""><p>Vedrai adesso una lista di attributi.<br><br>Indica quanto pensi <span class=""keyword"">effettivamente di possedere</span> ciascun attributo, ovvero quanto ciascun attributo rappresenta e descrive un aspetto della <span class=""keyword"">persona che realmente sei oggi</span>.</br><br>Usa la scala che va da <b>0</b> (<b><i>Per nulla</i></b>) a <b>6</b> (<b><i>Moltissimo</i></b>).</p></div><h5 class=""pushAnyBtn "" style=""margin-top: 1%;margin-bottom: 1%"">Premi qualunque tasto per continuare</h5>","d","",""
"","survey-likert","5","45962","0.0-5.0","{""subject_id"":""missing""}","32798","","{""LEALE"":3,""SFACCIATA"":3,""DIPLOMATICA"":2,""ROMANTICA"":3,""TOLLERANTE"":2,""FURBA"":1,""ORGOGLIOSA"":1,""OTTIMISTA"":3,""DETERMINATA"":4,""DIFFIDENTE"":3,""INFLESSIBILE"":3,""PATRIOTTICA"":1,""OBBEDIENTE"":2,""CORAGGIOSA"":1,""ELEGANTE"":1,""LOQUACE"":3,""IMPREVEDIBILE"":2,""SEDUCENTE"":1,""PARSIMONIOSA"":2,""SEMPLICE"":2}","[5,13,18,19,3,9,1,2,4,12,11,17,16,0,6,7,8,14,10,15]","realSelf"
"","html-button-response","6","50042","0.0-6.0","{""subject_id"":""missing""}","4071","<h5 class=""introHeader"">In questo compito hai dovuto indicare quanto ciascun attributo rappresenta:</h5>","1","","controlRealSelf"
"","html-keyboard-response","7","56714","0.0-7.0","{""subject_id"":""missing""}","6669","<h5 class=""introHeader"">Istruzioni <span class=""keyword_header"">Sé imperativo</span> <small>(Leggi attentamente prima di iniziare)</small></h5><div class=""border p-3"" style=""max-width:80%;margin-left: 10%;text-align: left;border-radius: 10px!important;padding:1%""><p>Indica adesso quanto <span class=""keyword"">senti di dover possedere</span> ciascun attributo</span>, ovvero quanto ciascun attributo rappresenta e descrive <span class=""keyword"">una regola normativa o un obbligo che senti di dover possedere</span>.<br><br>Usa la scala che va da <b>0</b> (<b><i>Per nulla</i></b>) a <b>6</b> (<b><i>Moltissimo</i></b>).</p></div><h5 class=""pushAnyBtn "" style=""margin-top: 1%;margin-bottom: 1%"">Premi qualunque tasto per continuare</h5>"," ","",""
"","survey-likert","8","96693","0.0-8.0","{""subject_id"":""missing""}","39472","","{""ORGOGLIOSA"":0,""LEALE"":0,""INFLESSIBILE"":0,""PARSIMONIOSA"":0,""FURBA"":0,""ELEGANTE"":0,""ROMANTICA"":0,""DIFFIDENTE"":0,""DETERMINATA"":0,""IMPREVEDIBILE"":0,""SEMPLICE"":0,""OTTIMISTA"":0,""LOQUACE"":0,""OBBEDIENTE"":0,""TOLLERANTE"":0,""CORAGGIOSA"":0,""SEDUCENTE"":0,""PATRIOTTICA"":0,""DIPLOMATICA"":0,""SFACCIATA"":0}","[1,5,11,10,9,6,19,12,4,8,15,2,7,16,3,0,14,17,18,13]","imperativeSelf"
"","html-button-response","9","128154","0.0-9.0","{""subject_id"":""missing""}","31455","<h5 class=""introHeader"">In questo compito hai dovuto indicare quanto ciascun attributo rappresenta:</h5>","1","","controlImperativeSelf"

